IP,,,Geo Distance
212.27.48.10,,,9343.087191211876
95.100.142.51,,,9967.883835723776
182.253.224.188,,,18598.223939480937
88.221.254.232,,,9967.883835723776
88.221.113.98,,,9967.883835723776
81.198.165.8,,,11885.954805845688
178.33.165.129,,,8662.557064436154
212.27.48.10,,,9343.087191211876
81.198.165.8,,,11885.954805845688
